TIPE	L6	L11	L40.61	L42	L43.44	L54.55	L57.71	L70	L72	L73	L81	L82	H16	H18	H31	H33	H35	H39	H45	H51	H52	H53	H56	H58	H59	H66.68	M84.26
L6	0	0	0	0	3	0	0	0	0	0	0	0	1	1	2	1	0	1	0	2	2	2	2	0	0	2	0
L11	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	1	0
L40.61	0	0	0	3	5	0	0	0	1	0	1	1	2	0	1	1	1	2	0	2	2	0	4	2	1	1	0
L42	0	0	0	0	16	0	0	0	0	4	1	0	2	11	4	0	2	2	1	3	7	2	0	2	4	3	0
L43.44	0	0	0	0	0	1	0	1	2	1	2	0	7	12	7	3	3	5	2	12	19	2	9	10	6	7	1
L54.55	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	1	0	0	0	0	0	0	0
L57.71	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	2	0	0	0	0	0	0	0	0	0	0	0
L70	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	2	0	0	1	0	1	0
L72	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	1	0	0	0	0	0	1	0
L73	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	0	0	0	0	1	1	1	0	1	0	0
L81	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	1	1	1	0	0	1	0	0	0	1	1
L82	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0
H16	0	0	0	0	0	0	0	0	0	0	0	0	0	79	7	9	6	14	63	31	44	0	26	14	11	24	0
H18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	6	7	29	15	36	0	10	16	6	17	1
H31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	2	0	1	3	1	2	1
H33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
H35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0
H39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	2	0	4	0
H45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	11	0	8	8	3	8	0
H51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
H52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0
H53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
H58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
H59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H66.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M84.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
