Pred	OR	low	up	pv	Dep	Kat	Urut
45.16	2.262	1.570	3.259	0.0000	H16	HR	1
45.18	2.252	1.547	3.277	0.0000	H18	HR	2
51.45	1.896	1.068	3.365	0.0289	H45	HR	3
56.16	0.541	0.340	0.862	0.0098	H16	HR	4
39.16	0.412	0.218	0.778	0.0063	H16	HR	5
66/68.16	0.403	0.247	0.657	0.0003	H16	HR	6
59.16	0.391	0.194	0.789	0.0087	H16	HR	7
31.16	0.333	0.141	0.783	0.0117	H16	HR	8
39.18	0.324	0.170	0.617	0.0006	H18	HR	9
42.43/44	0.320	0.181	0.567	0.0001	L43.44	LR	10
42.18	0.320	0.163	0.629	0.0010	H18	LR-HR	11
52.16	0.319	0.212	0.479	0.0000	H16	HR	12
33.18	0.305	0.122	0.757	0.0105	H18	HR	13
52.18	0.290	0.196	0.430	0.0000	H18	HR	14
51.18	0.289	0.166	0.502	0.0000	H18	HR	15
31.18	0.283	0.122	0.659	0.0034	H18	HR	16
39.42	0.270	0.082	0.892	0.0318	L42	LR-HR	17
39.45	0.262	0.078	0.874	0.0293	H45	HR	18
56.18	0.261	0.156	0.437	0.0000	H18	HR	19
31.58	0.261	0.091	0.748	0.0124	H58	HR	20
35.16	0.258	0.105	0.633	0.0031	H16	HR	21
31.66/68	0.253	0.077	0.831	0.0235	H66.68	HR	22
66/68.18	0.244	0.145	0.412	0.0000	H18	HR	23
35.18	0.244	0.105	0.566	0.0010	H18	HR	24
39.51	0.240	0.058	0.995	0.0492	H51	HR	25
42.52	0.238	0.117	0.483	0.0001	H52	LR-HR	26
39.66/68	0.227	0.089	0.578	0.0019	H66.68	HR	27
11.18	0.218	0.049	0.963	0.0445	H18	LR-HR	28
58.18	0.201	0.116	0.348	0.0000	H18	HR	29
53.43/44	0.192	0.061	0.602	0.0047	L43.44	LR-HR	30
51.43/44	0.189	0.103	0.346	0.0000	L43.44	LR-HR	31
58.16	0.189	0.103	0.345	0.0000	H16	HR	32
59.18	0.183	0.081	0.416	0.0000	H18	HR	33
31.43/44	0.171	0.072	0.410	0.0001	L43.44	LR-HR	34
58.42	0.165	0.059	0.463	0.0006	L42	LR-HR	35
66/68.51	0.162	0.051	0.517	0.0021	H51	HR	36
39.58	0.146	0.052	0.409	0.0003	H58	HR	37
43/44.18	0.145	0.081	0.261	0.0000	H18	LR-HR	38
31.52	0.139	0.043	0.455	0.0011	H52	HR	39
58.66/68	0.138	0.063	0.305	0.0000	H66.68	HR	40
6.43/44	0.138	0.046	0.415	0.0004	L43.44	LR	41
42.45	0.118	0.016	0.868	0.0358	H45	LR-HR	42
6.52	0.117	0.028	0.495	0.0036	H52	LR-HR	43
54/55.43/44	0.111	0.013	0.938	0.0435	L43.44	LR	44
33.43/44	0.107	0.036	0.320	0.0001	L43.44	LR-HR	45
43/44.45	0.094	0.023	0.389	0.0011	H45	LR-HR	46
39.43/44	0.093	0.040	0.215	0.0000	L43.44	LR-HR	47
33.66/68	0.091	0.012	0.674	0.0190	H66.68	HR	48
42.16	0.090	0.028	0.294	0.0001	H16	LR-HR	49
35.43/44	0.087	0.030	0.256	0.0000	L43.44	LR-HR	50
73.43/44	0.086	0.011	0.694	0.0212	L43.44	LR	51
59.43/44	0.084	0.035	0.206	0.0000	L43.44	LR-HR	52
43/44.16	0.082	0.037	0.181	0.0000	H16	LR-HR	53
52.43/44	0.077	0.046	0.129	0.0000	L43.44	LR-HR	54
6.16	0.077	0.010	0.577	0.0126	H16	LR-HR	55
56.43/44	0.076	0.038	0.152	0.0000	L43.44	LR-HR	56
66/68.43/44	0.075	0.038	0.148	0.0000	L43.44	LR-HR	57
58.43/44	0.074	0.039	0.140	0.0000	L43.44	LR-HR	58
58.52	0.072	0.032	0.166	0.0000	H52	HR	59
84/26.43/44	0.070	0.009	0.560	0.0121	L43.44	LR	60
6.18	0.067	0.009	0.497	0.0082	H18	LR-HR	61
70.43/44	0.065	0.008	0.522	0.0101	L43.44	LR	62
59.58	0.040	0.006	0.295	0.0016	H58	HR	63
56.58	0.037	0.009	0.151	0.0000	H58	HR	64
59.52	0.030	0.004	0.215	0.0005	H52	HR	65
66/68.52	0.027	0.007	0.109	0.0000	H52	HR	66
